filename,cik,name,address,city,state,zip,ticker,exchange,subsidiaries
03/000171840523000038.htm,0001718405,HYCROFT MINING HOLDING CORPORATION,4300 Water Canyon Road,Winnemucca,Nevada,89445,HYMC,Nasdaq,
03/000190376323000002.htm,0001903763,,,,,,,,
03/000155837023005294.htm,0001771706,"GOODNESS GROWTH HOLDINGS, INC.",207 South 9th Street,Minneapolis,Minnesota,55402,,NONE,
03/000114036123011303.htm,0001840502,TABOOLA.COM LTD.,16 Madison Square West,New York,NY,10010,TBLA,The Nasdaq Global Market,
03/000149315223009955.htm,0001438943,"MALACHITE INNOVATIONS, INC.",200 Park Avenue,Cleveland,Ohio,44122,MLCT,,
03/000188852423002957.htm,0001585067,,,,,,,,
03/000139834423006860.htm,0001495584,"Firsthand Technology Value Fund, Inc.",150 Almaden Boulevard,San Jose,California,95113,SVVC,NASDAQ,
03/000149315223009824.htm,0001812727,"RELIANCE GLOBAL GROUP, INC.",300 Blvd. of the Americas,Lakewood,NJ,08701,RELI,Nasdaq,
03/000162828023005873.htm,0000025445,"CRANE HOLDINGS, CO.",100 First Stamford Place,Stamford,CT,06902,CR,New York Stock Exchange,
03/000121465923004487.htm,0001594204,ZHEN DING RESOURCES INC.,Suite 111,Brossard,Quebec,J4Y OC4,,,
03/000132581423000047.htm,0001325814,FEDERAL HOME LOAN BANK OF DES MOINES,909 Locust Street,Des Moines,IA,50309,,,
03/000188852423003315.htm,0001833563,,,,,,,,
03/000121390023025634.htm,0001837929,NEW PROVIDENCE ACQUISITION CORP. II,10900 Research Blvd,Austin,TX,78759,NPAB,The Nasdaq Stock Market LLC,
